"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"889","de","en","Die Diagnose des OSAS beruht auf einer typischen Anamnese und der klinischen Untersuchung.","The diagnosis of OSAS is based on a typical history and clinical examination.",13,13
"835","de","en","Die Dauer der Augenfixation von unerfahrenen Bildbefundern war bei auffälligen Befunden deutlich länger, während erfahrene Radiologen eher klinisch relevante Regionen fixierten.","The duration of eye fixation with inexperienced assessors was significantly longer for conspicuous findings, while experienced assessors were more likely to fix clinically relevant regions.",25,21
"951","de","en","Die genaue Methodologie der Auswertung und die Bezeichnung der Parameter variieren bei unterschiedlichen Ansätzen.","The exact methodology of the evaluation and the designation of the parameters depend on the investigation.",16,14
"973","de","en","Die Augenbewegung war streng monokulär, pendelnd, meist mit vertikaler, manchmal auch mit schräger Ausrichtung.","The eye movement was strictly monocular, pendular, mostly vertical, but sometimes oblique.",12,14
"949","de","en","Der Schwerpunkt dabei liegt auf den realitätsnahen Übungen mit High-end-Ultraschallgeräten in Kleingruppen mit einer abschließenden praktischen Prüfung.","The focus is on the realistic exercises with high-end ultrasound equipment used in small groups with a final practical test.",20,17
"1059","de","en","Die Nachbeobachtung betrug für alle Augen 12 Monate.","The follow-up was 12 months for all eyes.",8,8
"947","de","en","Die Gruppen mit vier Studierenden werden jeweils von einem studentischen Tutor betreut.","The groups of four students are supervised by a student tutor.",11,12
"964","de","en","Das Heimann-Bielschowsky-Phänomen (HBP) ist eine seltene Art des asymptomatischen monokulären, vertikalen Pendelnystagmus.","The Heimann-Bielschowsky phenomenon (HBP) is an unusual form of monocular vertical pendular nystagmus and is usually asymptomatic.",17,12
"970","de","en","Des Weiteren ist eine systematische Literaturrecherche mit den Stichwörtern „Heimann-Bielschowsky“ oder „monocular nystagmus“ erfolgt.","The international literature on HBP was reviewed using the keywords ""Heimann-Bielschowsky"" or ""monocular nystagmus"".",14,14
"946","de","en","Das Praktikum (Säule 2) besteht aus vier Terminen von je zwei Stunden.","The internship (Pillar 2) consists of four appointments of two hours each.",12,12
"847","de","en","Gemäß eines Prä- und Post-Test-Designs wurden die neuromuskulären Parameter der Patienten vor und nach dem mobilen Training untersucht.","The intervention was designed in a randomised controlled pre-test/post-test design and patients were measured for neuromuscular parameters before the intervention and afterwards.",22,18
"929","de","en","Das Wissen über die Gene trägt aber nicht nur zum Verständnis bei, sondern soll helfen, entsprechende Therapieansätze zu entwickeln.","The knowledge about the genes does not only contribute to the understanding of these diseases, but should help develop new therapeutic possibilities.",22,19
"1164","de","en","Dabei kommt dem lymphatischen und glymphatischen System eine wesentliche Rolle zu.","The lymphatic and the glymphatic system are thought to be essentially involved.",12,11
"1092","de","en","Die Mehrzahl bisheriger Studien zeigt, dass Menschen mit Migrationshintergrund die medizinische Rehabilitation seltener als Menschen ohne Migrationshintergrund nutzen.","The majority of previous studies shows that migrants use medical rehabilitation less often than non-migrants.",15,18
"876","de","en","Die in den Unternehmensworkshops des FlexA Projektes erarbeiteten Maßnahmen, wie z. B. das Einführen von kollektiven Regelungen in den Betrieben, wurden in den HLF aufgenommen.","The measures, developed during the corporate workshops of the FlexA study, e. g. the implementation of collective regulations in the company, were included in the guideline.",25,25
"984","de","en","Die mediane native septale T1-Zeit bei FD-Patienten betrug 889,0 und 950,6 für die Kontrollgruppe (p < 0,003).","The median native septal T1 time for FD was 889.0 ms and 950.6 ms for controls (p < 0.003).",15,15
"1039","de","en","Der morphologische Kollateralisierungs-Status wurde anhand der aus den CT-Perfusionsdaten berechneten zeitinvarianten CTA mithilfe des Collateral Score (CS) ermittelt.","The morphological extent of collaterals was assessed on the basis of the Collateral Score (CS) on temporal maximum intensity projections (tMIP) derived from CT perfusion data.",26,18
"863","de","en","Die häufigste akute posteriore Uveitis bei immunkompetenten Patienten ist eine akute virale Netzhautnekrose.","The most frequent acute posterior uveitis in immunocompetent persons is acute viral retinal necrosis.",14,13
"1122","de","en","Die Ursache der Nachblutung liegt meist in einem Bronchial- oder Interkostalgefäß (21 und 16%) oder an der Thoraxwand bei ausgedehnter Pleurolyse (10,5%).","The most frequent origin of bleeding is a bronchial or intercostal vessel (21 and 16%) or the area of pleural adhesions that were separated (10.5%).",25,22
"1065","de","en","Die Anzahl der Notwendigkeit einer Lockerung des Traktionsfadens war in der alleinigen Ologen-Gruppe signifikant niedriger (p = 0,02).","The number of patients for whom it was necessary to loosen the traction thread was significantly lower in the sole Ologen group (p = 0.02).",23,16
"1160","de","en","Der Sehnerv ist ein weißer Hirnfaszikel.","The optic nerve is a white matter tract of the brain.",11,6
"992","de","en","Im vorliegenden Beitrag werden anstehende Herausforderungen und notwendigen Maßnahmen aus einer Nachwuchsperspektive dargestellt.","The present article discusses challenges and necessary measures from the perspective of young professionals.",14,13
"909","de","en","Die vorliegende Literaturübersicht beschäftigt sich mit der Verwendung von Kontaktlinsen bei der Behandlung von Hornhautdystrophien.","The present review of the literature will discuss the use of contact lenses in the management of corneal dystrophies.",19,15
"1095","de","en","Die vorliegende Studie untersucht die Inanspruchnahme von Rehabilitation bei Menschen mit und ohne Migrationshintergrund auf Basis des Dritten Sozialmedizinischen Panels für Erwerbspersonen (SPE-III).","The present study examines the use of rehabilitation among migrants and non-migrants by means of the Third German Socio-medical Panel of Employees (GSPE-III).",23,23
"1055","de","en","In der vorliegenden Arbeit wurde verglichen, ob die Kombination eines Ologen-Implantates mit Bevacizumab die Erfolgsrate und/oder Komplikationsrate im Rahmen einer Trabekulektomie verändern kann.","The present study investigates whether the combination of an Ologen implant with bevacizumab can modify the rates of success and/or complications during trabeculectomy.",23,23
"903","de","en","Die Wahrscheinlichkeit einer stationären Durchführung nahm im Zeitraum zwischen 2005 und 2009 ab.","The probability for inpatient rehabilitation decreased between 2005 and 2009.",10,13
"1123","de","en","Die Pulmonalarterie oder -vene war nur in 16% Ursache der Blutung und in den meisten Fällen (37%) konnte keine aktive Blutungsquelle mehr identifiziert werden.","The pulmonal artery or vein were the origin of bleeding in 16% of cases while in most cases (37%) active bleeding could no longer be detected.",26,24
"1024","de","en","Ziel unserer Studie war es, die Nabelherniotomie nach Spitzy im Hinblick auf die Rezidivrate im Kindes- und Erwachsenenalter zu analysieren.","The purpose of our study was to analyse Spitzy herniotomy with respect to the recurrence rate in children and adults.",20,20
"854","de","en","Durch eine Übersicht des Trainingsfortschritts in Form von Nutzer-Statistiken und Highscores kann der Rehabilitationsprozess überwacht und verglichen werden.","The rehabilitation process could be monitored and compared through an overview of training progress in the form of user statistics and high scores.",23,18
"792","de","en","Die beobachteten Zusammenhänge sind hinsichtlich der Prävention psychiatrischer Erkrankungen von Bedeutung und haben vielfältige Implikationen für die Entwicklung und den Einsatz präventiver und therapeutischer Interventionen.","The reported associations are relevant concerning the prevention of psychiatric disorders and thus have multiple implications for the development and use of preventive and therapeutic interventions.",26,25
"825","de","en","Es zeigte sich, dass sich die Eltern nach dem GP signifikant weniger gestresst fühlen, mehr Handlungsfähigkeit und soziale Unterstützung im Alltag wahrnehmen.","The results show, that parents feel statistical significant less overwhelmed by the responsibility of being a parent, recognise more capacity to act and support in everyday.",26,22
"836","de","en","Die Verweildauer der okulären Fixation bei wichtigen pathologischen Befunden unterschied sich nicht signifikant zwischen diesen Erfahrungsgruppen.","The retention time of ocular fixation in important pathological findings did not differ significantly between those groups.",17,16
"834","de","en","Die Sensibilität des Betrachters hängt von seiner beruflichen Erfahrung ab, die auch durch eine systematische Beobachtungsreihenfolge und die Kenntnis des Krankheitsverlaufs bestimmt wird.","The sensitivity of the observer depends on the professional experience, also determined by a systematic observation sequence and knowledge of the course of the disease.",25,23
"1020","de","en","Die Neuralleistenzellen tragen wesentlich zur Entwicklung der Augenstrukturen, insbesondere der vorderen Augenabschnitte, bei.","The so-called neural crest cells contribute significantly to the development of eye structures, especially of the anterior segment.",18,13
"944","de","en","Der Sonografie-Kurs basiert auf zwei Säulen.","The sonography course is based on two pillars.",8,6
"868","de","en","Die Verbreitung von IKT und mögliche Auswirkungen dieser Entwicklung auf die Gesundheit und das Wohlbefinden betroffener Mitarbeiter wurden bisher v. a. in großen Unternehmen untersucht.","The spread of this development and possible consequences on the affected employee's health and wellbeing have been examined so far especially in big companies.",24,25
"950","de","en","Der Kursaufbau und -ablauf wird von den Studierenden insgesamt als sehr positiv evaluiert.","The structure and procedure of the course was evaluated as being very positive by the students.",16,13
"1097","de","en","Die Auswertung basiert auf der ersten Erhebungswelle des SPE-III, erweitert um administrative Daten aus den Versicherungskonten der jeweiligen Studienteilnehmerinnen und -teilnehmer.","The study is based on the first wave of the GSPE-III, extended by administrative data from the insurance accounts of the respective study participants.",24,21
"968","de","en","Eine Genehmigung der lokalen Ethikkommission für diese Studie wurde eingeholt.","The study was approved by the local ethics committee.",9,10
"1058","de","en","Ausgewertet wurden die Erfolgs- und Misserfolgsrate, der Tensioverlauf, postoperative Komplikationen und die Notwendigkeit von postoperativen erneuten Eingriffen zur Druckregulation.","The success and failure rates, changes in tension, postoperative complications and postoperative revision for pressure regulation were evaluated.",18,19
"1125","de","en","Die obersten Landesgesundheitsbehörden der Länder bestimmen den weiteren Umfang der Untersuchungen.","The supreme state health authorities of the German federal states determine the further scope of the investigations.",17,11
"913","de","en","In der ärztlichen Weiterbildung beginnt die Ausbildung von Anfängern in diagnostischer und interventioneller Angiografie obligatorisch am Simulator.","The training of beginners in diagnostic and interventional angiography begins mandatorily on the simulator.",14,16
"860","de","en","Die beiden analysierten Gruppen, das heißt mit und ohne JS, waren ähnlich.","The two analyzed groups, i. e. with and without JS, were similar.",11,12
"958","de","en","Die Videoaufnahmen wurden an 6 Kollegen mit vergleichbarer Erfahrung gesendet, ohne weitere Informationen über die Krankengeschichte und die körperliche Untersuchung der Patienten zu geben.","The video recordings were sent to six colleagues with comparable experience without providing any further information about the patients' medical history and physical examination.",24,24
"1029","de","en","Die jungen Patienten waren im Durchschnitt 33,81 Monate alt und zu 44% weiblich und zu 56% männlich.","The young patients had an average age of 33.81 months and were 44% female and 56% male.",17,17
"1157","de","en","Viele Urologen haben Basisweiterbildungen Palliativmedizin zum Zugang zur palliativen Versorgung absolviert oder die Prüfung zum qualifizierten Palliativarzt (QPA) abgelegt.","There are a significant number of urological practitioners who have completed trainings in palliative care or passed an exam as 'qualified palliative physician (QPA)'.",24,19
"1132","de","en","Übereinstimmungen waren v. a. bei den Impfempfehlungen auszumachen.","There was agreement above all in the recommendations for vaccination.",10,7
"1139","de","en","Für die Mitwirkung an einer Vorlesung bestand eine signifikant geringere Motivation.","There was significantly decreased motivation for participation in a lecture.",10,11
"1041","de","en","Die Korrelation der rFTD zwischen der fv-CTA und DSA war sehr gut (n = 50, r = 0,9, p < 0,05).","There was very good correlation of rFTD between fv-CTA and DSA (n = 50, r = 0.9, p < 0.05).",14,15
"1066","de","en","Im Weiteren gab es keinen signifikanten Unterschied zwischen den Gruppen im Hinblick auf Folgeeingriffe.","There were also no significant differences between the groups with respect to revisions.",13,14
"1064","de","en","In keiner Gruppe traten schwerwiegende intra- oder postoperative Komplikationen auf.","There were no serious intra- or postoperative complications in any group.",11,10
"1155","de","en","Im Vergleich der atopisch-veranlagten Eltern leicht kranker Kinder mit atopisch-veranlagten Eltern schwer kranker Kinder fanden sich keine signifikanten Unterschiede.","There were no significant differences between atopically predisposed parents of slightly ill children and atopically predisposed parents of seriously ill children.",21,19
"1063","de","en","Sowohl bei der Erfolgs- als auch der Misserfolgsrate ergab sich jedoch kein signifikanter Unterschied.","There were no significant differences in the success and failure rates.",11,14
"979","de","en","Das Ziel unserer Studie war es, die Wertigkeit des nativen T1-Mappings als krankheitsspezifisches Äquivalent zu untersuchen.","Therefore, the aim of this study was to investigate the value of quantitative cardiac T1 mapping as a potential disease-specific surrogate.",21,16
"940","de","en","Deshalb sollte dieser Technik bevorzugt werden um Fehlklassifikationen und Fehldiagnosen zu minimieren.","Therefore, this technique may be preferred to minimize misclassification and misdiagnosis.",11,12
"788","de","en","Diese Hypothesen testeten wir über Korrelations- und Regressionsanalysen an n=93 Patienten mit depressiver und posttraumatischer Symptomatik in einem psychiatrischen Krankenhaus in Offenburg.","These hypotheses were tested with correlation and regression analysis in a sample of n=93 patients with depressive and posttraumatic symptomatology in a psychiatric clinic in Offenburg.",26,22
"934","de","en","Die Rater waren gegenüber anderen klinischen Informationen und gegenüber einander verblindet.","These observers were blinded to any clinical information and each other's results.",12,11
"907","de","en","Sie können auch in Kombination mit chirurgischen Verfahren eingesetzt werden, um die Gewebeheilung und das Wohlbefinden des Patienten in der postoperativen Phase zu fördern.","They also may be used in conjunction with surgical procedures to promote tissue healing and patient comfort in the postoperative period.",21,24
"846","de","en","Sie wurden gebeten die App für 4 Wochen zu Hause, 5 Mal pro Woche, für 10 bis 15 Minuten zu benutzen.","They were asked to use the app for 4 weeks at home, 5 times a week, for 10 to 15 minutes.",20,21
"896","de","en","Dies hat zur Entwicklung neuer Strategien geführt, um das Spektrum der Behandlungsoptionen zu erweitern, von denen einige auf der Antikörpertechnologie basieren.","This has led to the development of novel strategies to expand the spectrum of treatment options, some of which are based on antibody technology.",24,21
"785","de","en","Dies ist problematisch, da eine gute Ressourcenausstattung einen protektiven Faktor gegen die Entstehung psychischer Erkrankungen darstellt und teilweise auch mit besseren Therapieerfolgen einhergeht.","This is problematic, because resources can be a protective factor against the development of psychiatric disorders and are potentially beneficial for therapy outcomes.",23,23
"1018","de","en","Dies wird auf dem Niveau der Transkription reguliert.","This is regulated at the level of transcription.",8,8
"774","de","en","Drei Patienten mit einer PDE6Β-Mutation wurden identifiziert: 1. Ein 30 Jahre alter Mann mit einer homozygoten Mutation (c.[2351dupA],[2351dupA]; p.[Q785Gfs*20],[Q785Gfs*20]) wurde 8 Jahre lang beobachtet.","Three patients with a PDE6Β mutation were identified: 1. A 30-year-old male with a homozygotous mutation (c.[2351dupA],[2351dupA], p.[Q785Gfs*20],[Q785Gfs*20]) who was followed for 8 years.",24,24
"839","de","en","Durch die Sensibilisierung für die Analyse von CT-Bildern in systematischen Mustern scheinen Ärzte aller Erfahrungsstufen in der Lage zu sein, ihre Leistung zu verbessern.","Through raising the awareness of analyzing CT images in systematic patterns, physicians at all levels of experience seem to be able to improve their performance.",25,24
"1090","de","en","Dies ist in verschiedenen Handlungsfeldern jedoch dringend erforderlich, sollen Antibiotika auch in Zukunft für eine erfolgreiche Infektionsbehandlung zur Verfügung stehen.","To ensure that antibiotics will remain a reliable option for treating infectious diseases, targeted action is needed in various fields.",20,20
"1051","de","en","Angesichts dieser besonderen Herausforderungen haben mehrere Fachgesellschaften und Arbeitsgruppen spezifische Leitlinien und Empfehlungen zur Thromboseprophylaxe und -therapie bei Tumorpatienten veröffentlicht.","To meet these challenges, national and international guidelines for the prevention and treatment of venous thromboembolism in patients with cancer have been published.",23,20
"1053","de","en","Die Trabekulektomie zur operativen Augeninnendrucksenkung ist ein etabliertes Verfahren, das seine Limitationen vor allem in der postoperativen Wundheilung hat.","Trabeculectomy for the surgical reduction of internal eye pressure is an established procedure, but the principle limitations are in postoperative wound healing.",22,19
"962","de","en","2 Drittel der falsch positiven Befunde (3,7 %) waren auf eine fibrotische Stenose zurückzuführen.","Two-thirds of the false-positive findings (3.7 %) were due to fibrotic stenosis.",11,13
"778","de","en","Typische Knochenkörperchen und progrediente periphere Gesichtsfelder wurden bei allen Patienten beobachtet.","Typical bone spiculae were seen, and peripheral visual fields were progressively affected in all patients.",15,11
"941","de","en","Die Sonografie ist neben der konventionellen Röntgenaufnahme die am häufigsten verwendete diagnostische Methode im klinischen Alltag.","Ultrasound is the most commonly used diagnostic method in everyday clinical practice aside from conventional radiography.",16,16
"811","de","en","Leider sind Schmerzlinderung und Lebensqualität bei den anderen lokalen Behandlungsmethoden nur selten untersucht.","Unfortunately, pain palliation and quality-of-life outcomes are only rarely reported for other local treatment modalities.",15,13
"1010","de","en","Mithilfe eines generalisierten, linearen Regressionsmodels werden regionale Verschiebungen ambulanter Fälle in der Notfallbehandlung zwischen dem ambulanten und stationären Sektor untersucht.","Using generalized linear models (GLM), we examined regional shifts in emergency cases being treated in ambulatory and inpatient settings.",19,20
"1054","de","en","Verschiedene Antimetabolite werden bereits standardmäßig zur Vermeidung der postoperativen subkonjunktivalen Vernarbungsreaktion verwendet.","Various antimetabolites are regularly used to avoid postoperative subconjunctival scarring.",10,12
"812","de","en","Eine Vielzahl an lokal ablativen Behandlungsmodalitäten sind zur Tumormassenreduktion beim fortgeschrittenen Pankreaskarzinom verfügbar, bieten aber unterschiedlichen symptomatischen Nutzen.","Various local ablative treatment modalities are available and feasible for tumor mass reduction of advanced pancreatic cancer but with different symptomatic benefit for patients.",24,18
"998","de","en","Es zeigte sich ein statistisch hochsignifikanter Zusammenhang zwischen den oben genannten bei CMD häufig vorzufindenden degenerativen Veränderungen einerseits und Zeichen der Synovialitis andererseits.","We found a statistically high and significant correlation between the degenerative changes as mentioned above and the intensity of synovial enhancement.",21,23
"1052","de","en","Über diese soll im Folgenden ein Überblick gegeben werden.","We provide a summary of these specific recommendations.",8,9
"1006","de","en","What Role Does Synovitis Play in Craniomandibular Dysfunction (CMD)?","What Role Does Synovitis Play in Craniomandibular Dysfunction (CMD)?",9,9
"1023","de","en","In der Erwachsenenchirurgie kommen jedoch zunehmend Netze zur Anwendung.","With adult patients, meshes are being increasingly used.",8,9
"902","de","en","Mit zunehmendem Alter sowie bei Komorbiditäten wurde häufiger eine stationäre AR in Anspruch genommen.","With increasing age as well as comorbidities patients use more inpatient rehabilitation.",12,14
"875","de","en","Aus grauer Literatur konnten 4 Veröffentlichungen als relevant identifiziert werden.","Within grey literature research, 4 relevant publications could be identified.",10,10
